date,travel insurance,single trip travel insurance,travel insurance comparison
2024-10-27,31,0,0
2024-11-03,28,0,0
2024-11-10,29,0,0
2024-11-17,28,0,0
2024-11-24,27,0,0
2024-12-01,28,0,0
2024-12-08,27,0,0
2024-12-15,29,0,0
2024-12-22,28,0,0
2024-12-29,37,0,0
2025-01-05,49,0,0
2025-01-12,50,0,0
2025-01-19,50,0,0
2025-01-26,45,0,0
2025-02-02,49,0,0
2025-02-09,44,0,0
2025-02-16,46,0,0
2025-02-23,44,0,0
2025-03-02,52,0,0
2025-03-09,55,0,0
2025-03-16,51,0,0
2025-03-23,51,0,0
2025-03-30,51,0,0
2025-04-06,51,0,0
2025-04-13,50,0,0
2025-04-20,50,0,0
2025-04-27,52,0,0
2025-05-04,57,0,0
2025-05-11,56,0,0
2025-05-18,59,0,0
2025-05-25,59,0,0
2025-06-01,64,0,0
2025-06-08,56,0,0
2025-06-15,54,1,0
2025-06-22,62,0,0
2025-06-29,64,0,0
2025-07-06,65,0,0
2025-07-13,80,1,1
2025-07-20,79,1,1
2025-07-27,72,1,0
2025-08-03,74,0,0
2025-08-10,64,0,0
2025-08-17,60,1,0
2025-08-24,64,1,0
2025-08-31,65,0,0
2025-09-07,58,0,0
2025-09-14,54,0,0
2025-09-21,53,0,0
2025-09-28,61,0,0
2025-10-05,45,0,0
2025-10-12,44,0,0
2025-10-19,41,0,0
2025-10-26,39,0,0
2025-11-02,36,0,0
2025-11-09,38,0,0
2025-11-16,33,0,0
2025-11-23,35,0,0
2025-11-30,37,0,1
2025-12-07,37,0,1
2025-12-14,37,0,1
2025-12-21,36,0,1
2025-12-28,52,0,1
2026-01-04,60,0,1
2026-01-11,60,0,1
2026-01-18,65,1,1
2026-01-25,59,0,1
2026-02-01,60,0,2
2026-02-08,65,0,4
2026-02-15,81,1,7
2026-02-22,89,1,5
2026-03-01,100,1,1
2026-03-08,71,0,1
