date,travel insurance,single trip travel insurance,travel insurance comparison
2014-12-28,40,0,1
2015-01-04,57,0,1
2015-01-11,58,0,2
2015-01-18,52,0,2
2015-01-25,58,0,2
2015-02-01,53,0,2
2015-02-08,57,1,2
2015-02-15,58,0,0
2015-02-22,63,0,0
2015-03-01,65,0,0
2015-03-08,60,0,0
2015-03-15,68,0,0
2015-03-22,69,0,0
2015-03-29,67,1,0
2015-04-05,63,0,0
2015-04-12,63,0,0
2015-04-19,66,0,1
2015-04-26,72,1,1
2015-05-03,71,0,1
2015-05-10,75,1,1
2015-05-17,80,1,1
2015-05-24,84,1,1
2015-05-31,87,1,1
2015-06-07,90,1,3
2015-06-14,85,1,4
2015-06-21,90,1,4
2015-06-28,98,1,4
2015-07-05,100,1,2
2015-07-12,93,1,2
2015-07-19,98,1,1
2015-07-26,94,1,0
2015-08-02,90,1,1
2015-08-09,91,0,1
2015-08-16,86,1,0
2015-08-23,82,1,1
2015-08-30,79,1,0
2015-09-06,73,1,1
2015-09-13,67,0,0
2015-09-20,55,0,1
2015-09-27,50,0,0
2015-10-04,47,0,0
2015-10-11,45,0,2
2015-10-18,45,0,2
2015-10-25,40,0,0
2015-11-01,43,0,0
2015-11-08,40,0,0
2015-11-15,38,0,0
2015-11-22,35,0,0
2015-11-29,35,0,0
2015-12-06,35,0,0
2015-12-13,34,0,1
2015-12-20,34,0,0
2015-12-27,45,0,0
2016-01-03,53,0,0
2016-01-10,53,0,0
2016-01-17,53,0,0
2016-01-24,60,0,1
2016-01-31,56,0,1
2016-02-07,54,0,1
2016-02-14,56,0,1
2016-02-21,54,0,3
2016-02-28,59,0,3
2016-03-06,57,0,3
2016-03-13,52,0,3
2016-03-20,54,0,3
2016-03-27,56,1,3
2016-04-03,58,1,3
2016-04-10,54,0,2
2016-04-17,54,1,1
2016-04-24,63,0,0
2016-05-01,66,0,0
2016-05-08,69,0,0
2016-05-15,70,0,0
2016-05-22,76,1,0
2016-05-29,76,1,1
2016-06-05,80,0,0
2016-06-12,78,1,0
2016-06-19,78,0,0
2016-06-26,84,1,0
2016-07-03,83,1,1
2016-07-10,80,0,3
2016-07-17,80,0,4
2016-07-24,83,0,3
2016-07-31,83,1,3
2016-08-07,77,1,3
2016-08-14,77,0,3
2016-08-21,74,0,3
2016-08-28,77,1,3
2016-09-04,69,0,3
2016-09-11,61,0,1
2016-09-18,53,0,0
2016-09-25,46,0,0
2016-10-02,47,0,0
2016-10-09,44,0,0
2016-10-16,41,0,0
2016-10-23,40,0,0
2016-10-30,40,0,0
2016-11-06,40,0,0
2016-11-13,37,0,0
2016-11-20,34,0,0
2016-11-27,32,0,1
2016-12-04,33,0,1
2016-12-11,37,0,1
2016-12-18,35,0,1
2016-12-25,40,0,2
2017-01-01,51,0,2
2017-01-08,57,0,2
2017-01-15,56,0,2
2017-01-22,54,1,2
2017-01-29,60,0,0
2017-02-05,61,1,0
2017-02-12,55,0,0
2017-02-19,57,0,0
2017-02-26,56,0,0
2017-03-05,58,0,0
2017-03-12,54,0,0
2017-03-19,54,0,0
2017-03-26,62,0,1
2017-04-02,57,0,0
2017-04-09,54,0,0
2017-04-16,55,1,0
2017-04-23,66,0,0
2017-04-30,69,1,1
2017-05-07,73,0,0
2017-05-14,69,1,0
2017-05-21,68,0,0
2017-05-28,80,0,0
