date,travel insurance,summer holiday,winter sun,holiday insurance,annual travel insurance
2024-10-27,28,2,4,5,1
2024-11-03,29,2,3,4,0
2024-11-10,30,2,3,4,0
2024-11-17,28,2,4,4,0
2024-11-24,27,2,3,4,1
2024-12-01,28,2,3,4,1
2024-12-08,25,3,3,4,0
2024-12-15,28,5,4,4,1
2024-12-22,30,3,4,4,0
2024-12-29,41,4,4,6,1
2025-01-05,47,5,4,7,1
2025-01-12,52,5,3,9,1
2025-01-19,49,4,3,8,1
2025-01-26,45,4,2,6,1
2025-02-02,46,4,2,7,1
2025-02-09,44,4,2,7,1
2025-02-16,44,5,2,7,1
2025-02-23,43,4,2,7,1
2025-03-02,52,4,2,8,1
2025-03-09,52,4,1,8,1
2025-03-16,54,5,1,8,1
2025-03-23,48,5,1,8,1
2025-03-30,51,7,1,8,1
2025-04-06,49,6,1,8,1
2025-04-13,50,6,1,9,1
2025-04-20,49,6,1,9,1
2025-04-27,52,6,1,9,1
2025-05-04,57,7,1,10,1
2025-05-11,55,7,1,10,1
2025-05-18,62,7,1,10,1
2025-05-25,59,8,2,11,1
2025-06-01,61,9,1,11,1
2025-06-08,55,9,1,9,1
2025-06-15,56,9,1,10,1
2025-06-22,60,11,1,11,1
2025-06-29,58,12,2,10,1
2025-07-06,63,13,1,11,1
2025-07-13,73,15,2,14,1
2025-07-20,79,15,2,15,1
2025-07-27,74,12,2,14,1
2025-08-03,69,10,2,13,1
2025-08-10,64,8,2,12,1
2025-08-17,62,9,2,11,1
2025-08-24,62,8,3,11,1
2025-08-31,64,5,3,11,1
2025-09-07,58,3,3,10,1
2025-09-14,53,3,3,9,1
2025-09-21,50,3,3,9,1
2025-09-28,54,2,3,9,1
2025-10-05,46,4,3,8,1
2025-10-12,43,2,3,7,1
2025-10-19,39,2,3,7,1
2025-10-26,37,2,4,6,1
2025-11-02,36,2,4,6,1
2025-11-09,37,2,4,6,1
2025-11-16,35,3,4,5,1
2025-11-23,36,3,3,6,1
2025-11-30,37,3,3,6,1
2025-12-07,35,3,4,6,1
2025-12-14,36,3,3,6,1
2025-12-21,37,3,4,7,1
2025-12-28,50,5,4,8,1
2026-01-04,60,5,4,8,1
2026-01-11,59,5,3,9,1
2026-01-18,64,6,3,9,1
2026-01-25,57,5,3,9,1
2026-02-01,59,5,4,9,1
2026-02-08,63,6,4,10,2
2026-02-15,80,7,4,15,2
2026-02-22,88,6,3,16,2
2026-03-01,100,5,2,20,2
2026-03-08,73,6,2,14,1
