date,travel insurance,summer holiday,winter sun,holiday insurance,annual travel insurance
2024-10-27,32,2,4,5,1
2024-11-03,29,2,3,4,0
2024-11-10,29,2,3,4,0
2024-11-17,30,2,4,4,0
2024-11-24,28,2,3,4,1
2024-12-01,28,2,3,4,0
2024-12-08,31,3,3,4,0
2024-12-15,31,5,4,4,1
2024-12-22,29,3,4,5,0
2024-12-29,40,5,4,6,1
2025-01-05,48,5,4,7,1
2025-01-12,52,5,3,10,1
2025-01-19,51,5,3,8,1
2025-01-26,46,4,3,6,1
2025-02-02,46,4,2,8,1
2025-02-09,48,4,2,7,1
2025-02-16,44,5,2,7,1
2025-02-23,44,4,2,8,1
2025-03-02,51,4,2,8,1
2025-03-09,53,4,1,8,1
2025-03-16,52,5,1,8,1
2025-03-23,52,5,1,8,1
2025-03-30,50,7,1,9,1
2025-04-06,50,6,1,9,1
2025-04-13,51,6,1,9,1
2025-04-20,51,6,1,9,1
2025-04-27,55,6,1,9,1
2025-05-04,56,7,1,10,1
2025-05-11,56,8,1,10,1
2025-05-18,61,8,1,11,1
2025-05-25,59,8,2,11,1
2025-06-01,62,9,1,11,1
2025-06-08,57,9,1,9,1
2025-06-15,56,10,1,10,1
2025-06-22,61,12,1,11,1
2025-06-29,62,12,2,10,1
2025-07-06,65,13,1,11,1
2025-07-13,76,15,2,15,1
2025-07-20,83,15,2,15,1
2025-07-27,75,12,2,14,1
2025-08-03,73,10,2,14,1
2025-08-10,66,9,2,12,1
2025-08-17,61,9,2,11,1
2025-08-24,63,8,3,12,1
2025-08-31,64,5,3,11,1
2025-09-07,61,3,3,10,1
2025-09-14,54,3,3,9,1
2025-09-21,52,3,3,9,1
2025-09-28,56,2,3,9,1
2025-10-05,47,4,3,8,1
2025-10-12,46,2,3,7,1
2025-10-19,42,2,3,7,1
2025-10-26,39,2,4,6,1
2025-11-02,40,2,4,6,1
2025-11-09,38,2,4,6,1
2025-11-16,36,3,4,5,1
2025-11-23,36,3,3,6,1
2025-11-30,36,3,3,6,1
2025-12-07,37,3,4,6,1
2025-12-14,36,3,3,6,1
2025-12-21,37,3,4,7,1
2025-12-28,50,5,4,8,1
2026-01-04,60,5,4,9,1
2026-01-11,61,5,3,9,1
2026-01-18,64,6,3,9,1
2026-01-25,60,5,3,9,1
2026-02-01,62,5,4,9,1
2026-02-08,64,6,4,10,2
2026-02-15,81,7,4,15,2
2026-02-22,87,6,3,16,2
2026-03-01,100,5,2,21,2
2026-03-08,77,6,2,14,1
