date,travel insurance,summer holiday,winter sun,holiday insurance,annual travel insurance
2014-12-28,40,6,7,9,1
2015-01-04,57,7,7,12,1
2015-01-11,58,7,6,12,1
2015-01-18,52,6,5,11,1
2015-01-25,58,6,5,11,1
2015-02-01,53,6,4,11,1
2015-02-08,57,6,3,12,1
2015-02-15,58,6,3,12,2
2015-02-22,63,6,3,12,1
2015-03-01,65,7,3,13,1
2015-03-08,60,6,2,12,1
2015-03-15,68,6,2,13,1
2015-03-22,69,6,2,14,1
2015-03-29,67,7,2,14,1
2015-04-05,63,7,2,14,1
2015-04-12,63,8,2,15,1
2015-04-19,66,8,2,16,1
2015-04-26,72,7,2,17,1
2015-05-03,71,8,2,17,1
2015-05-10,75,8,2,18,1
2015-05-17,80,9,2,19,1
2015-05-24,84,9,2,21,1
2015-05-31,87,11,3,20,1
2015-06-07,90,12,3,21,1
2015-06-14,85,13,3,21,1
2015-06-21,90,14,3,22,1
2015-06-28,98,14,3,23,1
2015-07-05,100,15,3,21,1
2015-07-12,93,18,3,20,1
2015-07-19,98,19,3,22,1
2015-07-26,94,14,4,21,1
2015-08-02,90,11,3,19,1
2015-08-09,91,9,4,18,1
2015-08-16,86,8,5,18,1
2015-08-23,82,8,6,18,1
2015-08-30,79,9,6,17,1
2015-09-06,73,4,6,15,1
2015-09-13,67,3,7,14,1
2015-09-20,55,3,6,12,1
2015-09-27,50,3,6,12,1
2015-10-04,47,2,6,10,1
2015-10-11,45,3,6,10,1
2015-10-18,45,3,6,9,1
2015-10-25,40,3,6,7,1
2015-11-01,43,3,7,8,1
2015-11-08,40,2,6,8,1
2015-11-15,38,2,4,7,1
2015-11-22,35,2,4,6,1
2015-11-29,35,2,4,5,1
2015-12-06,35,2,4,6,1
2015-12-13,34,2,5,5,1
2015-12-20,34,3,5,6,1
2015-12-27,45,6,6,9,1
2016-01-03,53,8,7,12,1
2016-01-10,53,8,4,11,1
2016-01-17,53,8,4,12,1
2016-01-24,60,6,3,11,1
2016-01-31,56,7,4,11,1
2016-02-07,54,6,3,11,1
2016-02-14,56,7,3,11,1
2016-02-21,54,6,2,11,1
2016-02-28,59,7,2,12,1
2016-03-06,57,6,3,12,1
2016-03-13,52,6,2,11,1
2016-03-20,54,7,2,12,1
2016-03-27,56,7,2,13,1
2016-04-03,58,7,2,13,1
2016-04-10,54,8,2,12,1
2016-04-17,54,8,2,12,1
2016-04-24,63,7,2,15,1
2016-05-01,66,9,2,16,1
2016-05-08,69,9,2,16,1
2016-05-15,70,9,2,17,1
2016-05-22,76,9,2,18,1
2016-05-29,76,11,3,19,1
2016-06-05,80,11,3,18,1
2016-06-12,78,11,3,18,1
2016-06-19,78,12,3,17,1
2016-06-26,84,14,3,18,1
2016-07-03,83,14,3,19,1
2016-07-10,80,16,4,18,1
2016-07-17,80,21,3,18,1
2016-07-24,83,18,4,19,1
2016-07-31,83,12,4,20,1
2016-08-07,77,9,4,18,1
2016-08-14,77,8,5,16,1
2016-08-21,74,8,5,16,1
2016-08-28,77,7,6,17,1
2016-09-04,69,6,6,15,1
2016-09-11,61,3,6,14,1
2016-09-18,53,3,6,12,1
2016-09-25,46,2,6,12,1
2016-10-02,47,3,7,11,1
2016-10-09,44,3,6,9,1
2016-10-16,41,3,7,8,1
2016-10-23,40,2,6,7,1
2016-10-30,40,3,6,7,1
2016-11-06,40,3,6,7,1
2016-11-13,37,3,6,7,1
2016-11-20,34,2,5,6,1
2016-11-27,32,3,5,6,1
2016-12-04,33,2,6,6,1
2016-12-11,37,2,5,6,1
2016-12-18,35,3,5,6,1
2016-12-25,40,6,6,8,1
2017-01-01,51,8,7,12,1
2017-01-08,57,7,5,12,1
2017-01-15,56,8,6,12,1
2017-01-22,54,6,5,11,2
2017-01-29,60,6,4,11,1
2017-02-05,61,6,3,11,1
2017-02-12,55,5,3,11,1
2017-02-19,57,6,3,11,1
2017-02-26,56,6,3,12,1
2017-03-05,58,6,2,12,1
2017-03-12,54,6,2,11,1
2017-03-19,54,6,2,11,1
2017-03-26,62,7,2,13,1
2017-04-02,57,8,2,13,1
2017-04-09,54,8,2,12,1
2017-04-16,55,8,2,15,1
2017-04-23,66,8,2,16,1
2017-04-30,69,8,2,16,1
2017-05-07,73,9,2,19,1
2017-05-14,69,8,2,18,1
2017-05-21,68,10,2,17,1
2017-05-28,80,11,3,21,1
2017-06-04,76,11,3,19,1
2017-06-11,78,12,3,19,1
2017-06-18,88,14,3,20,1
2017-06-25,90,14,3,21,1
2017-07-02,90,15,3,20,1
2017-07-09,85,16,4,21,1
2017-07-16,88,19,4,19,1
2017-07-23,86,18,4,19,1
2017-07-30,90,14,4,21,1
2017-08-06,86,11,5,19,1
2017-08-13,84,9,6,18,1
2017-08-20,80,9,5,18,1
2017-08-27,79,10,6,20,1
2017-09-03,85,6,6,18,1
2017-09-10,71,4,6,16,1
2017-09-17,66,3,6,14,1
2017-09-24,60,3,6,13,1
2017-10-01,61,3,7,13,1
2017-10-08,52,3,6,11,1
2017-10-15,45,3,6,9,1
2017-10-22,41,3,7,8,1
2017-10-29,40,2,7,8,1
2017-11-05,37,3,6,8,1
2017-11-12,34,3,6,7,0
2017-11-19,34,4,5,6,1
2017-11-26,34,3,5,6,1
2017-12-03,33,3,5,5,1
2017-12-10,35,2,5,6,1
2017-12-17,36,3,5,6,1
2017-12-24,37,5,6,7,1
2017-12-31,51,8,8,11,1
2018-01-07,65,8,6,14,1
2018-01-14,61,7,5,12,1
2018-01-21,62,7,4,12,1
2018-01-28,62,7,4,12,1
2018-02-04,62,6,4,12,1
2018-02-11,58,7,4,12,1
2018-02-18,62,8,4,12,1
2018-02-25,65,6,4,12,1
2018-03-04,62,7,3,12,1
2018-03-11,60,8,2,14,1
2018-03-18,62,8,2,14,1
2018-03-25,65,9,2,15,1
2018-04-01,69,9,2,15,1
2018-04-08,68,10,3,15,1
2018-04-15,63,8,2,14,1
2018-04-22,69,10,3,17,1
2018-04-29,77,10,2,19,1
2018-05-06,76,11,2,19,1
2018-05-13,73,10,2,18,1
2018-05-20,81,12,3,19,1
2018-05-27,86,12,4,21,1
2018-06-03,86,13,4,21,1
2018-06-10,91,13,3,22,1
2018-06-17,85,15,4,20,1
2018-06-24,87,15,4,20,1
2018-07-01,82,16,4,19,1
2018-07-08,81,17,4,19,1
2018-07-15,82,23,5,19,1
2018-07-22,87,20,5,20,1
2018-07-29,87,15,5,20,1
2018-08-05,79,13,5,18,1
2018-08-12,79,10,5,17,1
2018-08-19,75,9,5,16,1
2018-08-26,74,10,5,18,1
2018-09-02,76,6,5,16,1
2018-09-09,68,4,6,15,1
2018-09-16,62,4,6,13,1
2018-09-23,57,4,7,12,1
2018-09-30,53,3,5,11,1
2018-10-07,46,3,6,10,1
2018-10-14,47,3,6,9,1
2018-10-21,41,3,6,8,1
2018-10-28,37,3,7,7,1
2018-11-04,38,3,6,8,1
2018-11-11,35,3,6,7,1
2018-11-18,33,3,5,6,0
2018-11-25,36,2,5,6,1
2018-12-02,35,2,5,6,1
2018-12-09,34,3,5,6,1
2018-12-16,36,2,5,6,1
2018-12-23,35,5,5,7,1
2018-12-30,46,7,7,10,1
2019-01-06,62,7,6,13,2
2019-01-13,57,7,5,12,1
2019-01-20,54,6,4,12,1
2019-01-27,57,6,4,11,1
2019-02-03,61,5,3,12,1
2019-02-10,67,5,3,12,1
2019-02-17,64,6,2,12,1
2019-02-24,60,6,2,12,1
2019-03-03,63,6,2,14,1
2019-03-10,62,6,2,12,1
2019-03-17,57,6,2,12,1
2019-03-24,59,6,2,12,1
2019-03-31,69,6,2,14,1
2019-04-07,72,7,2,15,1
2019-04-14,61,7,2,13,1
2019-04-21,67,8,2,16,1
2019-04-28,76,8,2,17,1
2019-05-05,72,8,2,17,1
2019-05-12,76,9,2,18,1
2019-05-19,82,10,2,20,1
2019-05-26,82,10,2,20,1
2019-06-02,83,11,2,19,1
2019-06-09,84,11,2,18,1
2019-06-16,78,12,3,18,1
2019-06-23,85,14,3,19,1
2019-06-30,86,16,3,19,1
2019-07-07,87,16,3,20,1
2019-07-14,88,19,3,19,1
2019-07-21,87,17,3,17,1
2019-07-28,86,14,4,18,1
2019-08-04,85,11,4,19,1
2019-08-11,81,10,4,18,1
2019-08-18,79,9,4,16,1
2019-08-25,78,11,4,18,1
2019-09-01,80,6,5,17,1
2019-09-08,70,4,6,14,1
2019-09-15,73,4,6,16,1
2019-09-22,75,3,6,14,1
2019-09-29,60,3,5,12,1
2019-10-06,58,3,6,11,1
2019-10-13,50,3,6,10,1
2019-10-20,41,3,6,8,1
2019-10-27,35,2,5,7,1
2019-11-03,37,3,6,7,1
2019-11-10,34,3,5,6,1
2019-11-17,33,3,6,6,1
2019-11-24,30,2,4,6,0
2019-12-01,33,3,4,6,1
2019-12-08,32,2,5,5,1
2019-12-15,36,3,4,6,1
2019-12-22,35,4,6,7,1
2019-12-29,51,6,6,10,1
