date,travel insurance,book holiday,cheap flights,package holiday,all inclusive holiday
2019-12-01,12,1,26,1,1
2019-12-08,12,1,27,1,1
2019-12-15,14,1,31,2,2
2019-12-22,13,2,37,2,2
2019-12-29,19,3,40,4,4
2020-01-05,25,3,42,3,4
2020-01-12,25,3,41,3,4
2020-01-19,25,2,41,3,4
2020-01-26,26,2,36,2,3
2020-02-02,25,2,35,2,3
2020-02-09,25,2,33,2,3
2020-02-16,22,2,30,2,3
2020-02-23,51,2,27,2,2
2020-03-01,73,2,25,2,2
2020-03-08,100,2,24,2,1
2020-03-15,38,2,12,1,1
2020-03-22,11,1,8,1,0
2020-03-29,10,1,7,1,0
2020-04-05,9,1,8,1,1
2020-04-12,8,2,7,1,1
2020-04-19,8,1,7,1,1
2020-04-26,8,1,6,1,1
2020-05-03,8,1,7,1,1
2020-05-10,9,1,7,1,0
2020-05-17,9,1,8,1,1
2020-05-24,9,2,8,1,1
2020-05-31,9,2,9,1,1
2020-06-07,9,2,10,1,1
2020-06-14,9,2,10,1,1
2020-06-21,13,2,12,1,1
2020-06-28,17,2,12,1,1
2020-07-05,17,2,13,1,1
2020-07-12,15,2,15,2,1
2020-07-19,18,3,18,2,2
2020-07-26,22,2,13,2,1
2020-08-02,15,2,12,1,1
2020-08-09,15,2,13,2,1
2020-08-16,14,2,12,1,1
2020-08-23,13,2,12,1,1
2020-08-30,13,2,12,1,1
2020-09-06,12,2,11,1,1
2020-09-13,11,1,11,1,1
2020-09-20,10,1,10,1,1
2020-09-27,10,1,11,1,1
2020-10-04,9,1,11,1,1
2020-10-11,9,1,11,1,1
2020-10-18,9,1,11,1,1
2020-10-25,8,1,9,1,1
2020-11-01,6,1,9,1,0
2020-11-08,7,1,10,1,1
2020-11-15,7,1,9,1,1
2020-11-22,7,1,11,1,1
2020-11-29,8,1,11,1,1
2020-12-06,9,1,12,1,1
2020-12-13,9,1,12,1,1
2020-12-20,7,1,10,1,1
2020-12-27,8,2,10,1,1
2021-01-03,8,1,10,1,1
2021-01-10,8,1,9,1,1
2021-01-17,7,2,9,1,1
2021-01-24,6,2,8,1,1
2021-01-31,5,1,7,1,1
2021-02-07,6,2,8,1,1
2021-02-14,5,1,7,1,1
2021-02-21,6,3,9,1,1
2021-02-28,6,2,8,1,1
2021-03-07,7,2,9,1,1
2021-03-14,6,2,9,1,1
2021-03-21,5,2,8,1,1
2021-03-28,5,1,7,1,1
2021-04-04,5,2,5,1,1
2021-04-11,5,2,5,1,1
2021-04-18,5,1,5,1,1
2021-04-25,5,2,5,1,1
2021-05-02,6,2,6,1,1
2021-05-09,8,2,6,1,1
2021-05-16,8,2,6,1,1
2021-05-23,8,2,6,1,1
2021-05-30,8,2,6,1,1
2021-06-06,7,2,6,1,1
2021-06-13,7,2,6,1,1
2021-06-20,9,2,7,1,1
2021-06-27,10,2,7,1,1
2021-07-04,11,2,8,1,1
2021-07-11,12,2,9,1,1
2021-07-18,12,3,8,1,1
2021-07-25,13,2,8,1,1
2021-08-01,15,2,9,1,2
2021-08-08,16,2,9,1,1
2021-08-15,13,2,8,1,1
2021-08-22,15,2,8,2,1
2021-08-29,16,2,8,2,1
2021-09-05,16,2,8,1,1
2021-09-12,16,2,10,1,1
2021-09-19,17,2,12,1,1
2021-09-26,16,1,11,1,1
2021-10-03,17,2,14,1,1
2021-10-10,16,2,13,2,1
2021-10-17,16,2,14,1,1
2021-10-24,13,2,11,1,1
2021-10-31,13,1,12,1,1
2021-11-07,14,1,12,1,1
2021-11-14,14,1,11,1,1
2021-11-21,15,1,11,1,1
2021-11-28,15,1,8,1,1
2021-12-05,13,1,7,1,1
2021-12-12,13,1,7,1,1
2021-12-19,10,1,6,1,1
2021-12-26,12,2,9,2,1
2022-01-02,19,3,13,2,2
2022-01-09,24,3,14,3,3
2022-01-16,23,3,14,3,2
2022-01-23,25,3,14,2,3
2022-01-30,27,2,17,2,3
2022-02-06,27,2,18,2,3
2022-02-13,25,2,19,2,2
2022-02-20,26,2,18,2,3
2022-02-27,26,3,17,2,2
2022-03-06,26,2,18,2,2
2022-03-13,27,2,21,2,3
2022-03-20,26,2,21,2,3
2022-03-27,29,2,21,2,3
2022-04-03,33,3,22,2,3
2022-04-10,27,3,20,2,3
2022-04-17,27,3,22,3,4
2022-04-24,31,2,22,3,3
2022-05-01,31,3,22,3,4
2022-05-08,32,2,23,3,4
2022-05-15,30,2,23,3,4
2022-05-22,37,2,25,3,3
2022-05-29,35,3,22,3,3
2022-06-05,36,3,23,3,3
2022-06-12,30,2,22,3,3
2022-06-19,33,3,23,3,4
2022-06-26,34,2,23,3,4
2022-07-03,35,3,23,3,3
2022-07-10,33,3,23,3,3
2022-07-17,30,3,22,3,3
2022-07-24,31,3,24,3,3
2022-07-31,31,3,25,3,3
2022-08-07,32,3,22,3,3
2022-08-14,30,2,20,2,3
2022-08-21,30,2,20,2,3
2022-08-28,30,2,19,2,3
2022-09-04,26,2,18,2,2
2022-09-11,25,2,18,2,2
2022-09-18,23,2,17,2,2
2022-09-25,21,2,17,2,2
2022-10-02,22,2,17,2,2
2022-10-09,20,2,17,2,2
2022-10-16,16,1,16,2,2
2022-10-23,16,1,15,2,2
2022-10-30,15,1,15,2,2
2022-11-06,15,1,15,2,2
2022-11-13,14,1,15,2,1
2022-11-20,12,1,13,2,1
2022-11-27,14,1,14,1,1
2022-12-04,12,1,13,1,1
2022-12-11,14,1,13,2,1
2022-12-18,12,1,14,2,1
2022-12-25,16,2,18,3,3
2023-01-01,26,3,25,4,4
2023-01-08,28,3,25,4,4
2023-01-15,30,3,24,3,4
2023-01-22,29,2,24,3,3
2023-01-29,28,2,24,3,3
2023-02-05,27,2,23,3,3
2023-02-12,26,2,22,2,3
2023-02-19,25,2,21,3,3
2023-02-26,25,2,20,3,2
2023-03-05,25,2,21,2,2
2023-03-12,23,2,19,2,2
2023-03-19,25,2,21,3,3
2023-03-26,27,2,23,3,3
2023-04-02,25,2,24,3,3
2023-04-09,26,2,22,3,3
2023-04-16,26,2,20,2,3
2023-04-23,29,2,22,3,3
2023-04-30,28,2,21,3,3
2023-05-07,29,2,21,3,3
