date,travel insurance,single trip travel insurance,travel insurance comparison
2024-10-27,32,0,0
2024-11-03,29,0,0
2024-11-10,28,0,0
2024-11-17,28,0,0
2024-11-24,27,0,0
2024-12-01,28,0,0
2024-12-08,27,0,0
2024-12-15,30,0,0
2024-12-22,28,0,0
2024-12-29,40,0,0
2025-01-05,50,0,0
2025-01-12,53,0,0
2025-01-19,50,0,0
2025-01-26,45,0,0
2025-02-02,46,0,0
2025-02-09,46,0,0
2025-02-16,45,0,0
2025-02-23,46,0,0
2025-03-02,51,0,0
2025-03-09,52,0,0
2025-03-16,51,0,0
2025-03-23,51,0,0
2025-03-30,51,0,0
2025-04-06,50,0,0
2025-04-13,49,0,0
2025-04-20,49,0,0
2025-04-27,52,0,0
2025-05-04,57,0,0
2025-05-11,54,0,0
2025-05-18,61,0,0
2025-05-25,62,0,0
2025-06-01,62,0,0
2025-06-08,55,0,0
2025-06-15,57,0,0
2025-06-22,61,0,0
2025-06-29,61,0,0
2025-07-06,65,0,0
2025-07-13,76,1,1
2025-07-20,80,1,1
2025-07-27,72,1,0
2025-08-03,72,0,0
2025-08-10,64,0,0
2025-08-17,60,1,0
2025-08-24,65,1,0
2025-08-31,64,0,0
2025-09-07,60,0,0
2025-09-14,54,0,0
2025-09-21,53,0,0
2025-09-28,56,0,0
2025-10-05,46,0,0
2025-10-12,44,0,0
2025-10-19,40,0,0
2025-10-26,36,0,0
2025-11-02,39,0,0
2025-11-09,38,0,0
2025-11-16,34,0,0
2025-11-23,33,0,0
2025-11-30,38,0,1
2025-12-07,42,0,1
2025-12-14,37,0,1
2025-12-21,35,0,1
2025-12-28,51,0,1
2026-01-04,60,0,1
2026-01-11,57,0,1
2026-01-18,64,0,1
2026-01-25,57,0,1
2026-02-01,61,0,2
2026-02-08,63,0,4
2026-02-15,84,1,7
2026-02-22,92,1,5
2026-03-01,100,1,1
2026-03-08,74,0,1
2026-03-15,63,0,1
