date,travel insurance,book holiday,cheap flights,package holiday,all inclusive holiday
2014-12-28,29,4,84,6,9
2015-01-04,42,5,96,6,10
2015-01-11,43,6,96,6,9
2015-01-18,38,4,89,6,8
2015-01-25,42,4,85,5,7
2015-02-01,39,3,80,5,7
2015-02-08,41,3,76,5,6
2015-02-15,42,3,76,5,6
2015-02-22,46,3,75,4,6
2015-03-01,47,3,79,4,7
2015-03-08,44,3,75,4,6
2015-03-15,50,3,76,5,6
2015-03-22,50,3,76,4,6
2015-03-29,49,3,73,4,6
2015-04-05,46,3,77,5,7
2015-04-12,46,4,71,4,7
2015-04-19,48,4,74,5,9
2015-04-26,53,4,78,5,7
2015-05-03,52,4,71,5,8
2015-05-10,55,4,78,5,8
2015-05-17,59,4,81,5,8
2015-05-24,62,4,79,5,9
2015-05-31,63,4,80,6,9
2015-06-07,66,4,88,6,9
2015-06-14,62,4,81,5,9
2015-06-21,66,4,88,5,10
2015-06-28,72,5,88,5,9
2015-07-05,73,5,93,6,9
2015-07-12,68,5,88,6,9
2015-07-19,72,5,95,6,9
2015-07-26,68,4,97,6,9
2015-08-02,66,5,94,6,9
2015-08-09,66,4,91,6,9
2015-08-16,63,4,84,6,8
2015-08-23,60,4,80,5,7
2015-08-30,58,4,79,5,7
2015-09-06,53,4,79,5,6
2015-09-13,49,3,74,4,6
2015-09-20,40,3,67,4,5
2015-09-27,37,3,70,4,4
2015-10-04,34,2,67,4,4
2015-10-11,33,3,67,4,4
2015-10-18,33,3,65,4,4
2015-10-25,29,2,60,3,4
2015-11-01,31,2,61,3,4
2015-11-08,29,2,54,3,3
2015-11-15,28,2,48,2,2
2015-11-22,25,2,47,2,2
2015-11-29,25,2,47,2,2
2015-12-06,26,2,49,2,2
2015-12-13,25,2,48,3,2
2015-12-20,25,3,53,3,3
2015-12-27,33,4,81,5,7
2016-01-03,39,5,100,7,10
2016-01-10,39,5,92,6,9
2016-01-17,39,5,95,6,8
2016-01-24,44,4,96,6,7
2016-01-31,41,4,96,5,8
2016-02-07,40,3,84,5,6
