date,travel insurance,summer holiday,winter sun,holiday insurance,annual travel insurance
2024-10-27,31,2,4,5,1
2024-11-03,29,2,3,4,0
2024-11-10,28,2,3,4,0
2024-11-17,28,2,4,4,0
2024-11-24,27,2,3,4,0
2024-12-01,28,2,3,4,0
2024-12-08,26,2,3,4,0
2024-12-15,29,5,4,4,1
2024-12-22,29,3,4,4,0
2024-12-29,42,4,4,6,1
2025-01-05,48,5,4,7,1
2025-01-12,51,4,3,9,1
2025-01-19,49,4,3,8,1
2025-01-26,44,4,2,6,1
2025-02-02,46,4,2,7,1
2025-02-09,45,4,2,7,1
2025-02-16,44,5,2,7,1
2025-02-23,44,4,2,7,1
2025-03-02,50,4,2,8,1
2025-03-09,50,4,1,8,1
2025-03-16,49,5,1,8,1
2025-03-23,50,4,1,8,1
2025-03-30,51,7,1,8,1
2025-04-06,49,6,1,8,1
2025-04-13,49,6,1,9,1
2025-04-20,49,6,1,8,1
2025-04-27,51,6,1,9,1
2025-05-04,53,7,1,10,1
2025-05-11,54,7,1,10,1
2025-05-18,60,7,1,10,1
2025-05-25,57,8,2,10,1
2025-06-01,60,8,1,11,1
2025-06-08,52,9,1,9,1
2025-06-15,54,10,1,10,1
2025-06-22,61,11,1,11,1
2025-06-29,61,12,2,10,1
2025-07-06,61,13,1,10,1
2025-07-13,75,15,2,15,1
2025-07-20,79,15,2,15,1
2025-07-27,72,11,2,13,1
2025-08-03,71,9,2,13,1
2025-08-10,65,8,2,12,1
2025-08-17,59,9,2,11,1
2025-08-24,61,8,3,11,1
2025-08-31,63,5,3,10,1
2025-09-07,58,3,3,10,1
2025-09-14,52,3,3,9,1
2025-09-21,53,3,3,9,1
2025-09-28,54,2,3,9,1
2025-10-05,47,4,3,8,1
2025-10-12,44,2,3,7,1
2025-10-19,40,2,3,7,1
2025-10-26,38,2,4,6,1
2025-11-02,37,2,4,6,1
2025-11-09,37,2,4,5,1
2025-11-16,35,3,4,5,1
2025-11-23,33,3,3,6,1
2025-11-30,36,2,3,6,1
2025-12-07,35,3,4,6,1
2025-12-14,36,3,3,6,1
2025-12-21,36,3,4,6,1
2025-12-28,51,5,4,8,1
2026-01-04,59,5,4,8,1
2026-01-11,57,5,3,9,1
2026-01-18,62,6,3,9,2
2026-01-25,59,5,3,9,1
2026-02-01,60,5,4,9,1
2026-02-08,61,6,4,10,2
2026-02-15,81,7,4,15,2
2026-02-22,88,6,3,15,2
2026-03-01,100,6,2,20,2
2026-03-08,69,5,1,13,1
2026-03-15,66,5,1,13,1
