date,travel insurance,single trip travel insurance,travel insurance comparison
2024-02-25,42,0,0
2024-03-03,43,0,0
2024-03-10,43,0,0
2024-03-17,45,0,0
2024-03-24,45,0,0
2024-03-31,45,0,0
2024-04-07,44,0,0
2024-04-14,49,0,0
2024-04-21,47,0,0
2024-04-28,50,0,0
2024-05-05,47,0,0
2024-05-12,50,0,0
2024-05-19,52,0,0
2024-05-26,55,0,0
2024-06-02,57,0,0
2024-06-09,58,0,0
2024-06-16,54,0,0
2024-06-23,54,0,0
2024-06-30,54,0,0
2024-07-07,52,0,0
2024-07-14,54,0,0
2024-07-21,55,0,0
2024-07-28,51,0,0
2024-08-04,52,0,0
2024-08-11,54,0,0
2024-08-18,54,0,0
2024-08-25,55,0,0
2024-09-01,55,0,0
2024-09-08,49,0,0
2024-09-15,46,0,0
2024-09-22,44,0,0
2024-09-29,42,0,0
2024-10-06,39,0,0
2024-10-13,34,0,0
2024-10-20,32,0,0
2024-10-27,30,0,0
2024-11-03,27,0,0
2024-11-10,26,0,0
2024-11-17,29,0,0
2024-11-24,27,0,0
2024-12-01,26,0,0
2024-12-08,27,0,0
2024-12-15,29,0,0
2024-12-22,29,0,0
2024-12-29,38,0,0
2025-01-05,47,0,0
2025-01-12,51,0,0
2025-01-19,50,0,0
2025-01-26,46,0,0
2025-02-02,47,0,0
2025-02-09,45,0,0
2025-02-16,43,0,0
2025-02-23,40,0,0
2025-03-02,49,0,0
2025-03-09,49,0,0
2025-03-16,50,0,0
2025-03-23,49,0,0
2025-03-30,51,0,0
2025-04-06,49,0,0
2025-04-13,49,0,0
2025-04-20,46,0,0
2025-04-27,50,0,0
2025-05-04,54,0,0
2025-05-11,54,0,0
2025-05-18,62,0,0
2025-05-25,53,0,0
2025-06-01,60,0,0
2025-06-08,55,0,0
2025-06-15,52,0,0
2025-06-22,59,0,0
2025-06-29,61,0,0
2025-07-06,65,0,0
2025-07-13,73,0,1
2025-07-20,76,1,0
2025-07-27,71,1,0
2025-08-03,69,0,0
2025-08-10,64,0,0
2025-08-17,60,1,0
2025-08-24,61,1,1
2025-08-31,62,0,0
2025-09-07,55,0,0
2025-09-14,52,0,0
2025-09-21,53,0,0
2025-09-28,53,0,0
2025-10-05,46,0,0
2025-10-12,42,0,0
2025-10-19,41,0,0
2025-10-26,38,0,0
2025-11-02,36,0,0
2025-11-09,36,0,0
2025-11-16,32,0,0
2025-11-23,35,0,0
2025-11-30,36,0,1
2025-12-07,36,0,1
2025-12-14,37,0,1
2025-12-21,35,0,1
2025-12-28,48,0,1
2026-01-04,58,0,1
2026-01-11,57,0,1
2026-01-18,61,1,1
2026-01-25,58,0,1
2026-02-01,58,0,2
2026-02-08,62,0,4
2026-02-15,79,1,6
2026-02-22,84,1,5
2026-03-01,100,1,1
2026-03-08,68,0,1
2026-03-15,72,0,0
