date,travel insurance,single trip travel insurance,travel insurance comparison
2024-10-27,33,0,0
2024-11-03,30,0,0
2024-11-10,32,0,0
2024-11-17,29,0,0
2024-11-24,28,0,0
2024-12-01,30,0,0
2024-12-08,30,0,0
2024-12-15,29,0,0
2024-12-22,29,0,0
2024-12-29,42,0,0
2025-01-05,51,0,0
2025-01-12,52,0,0
2025-01-19,53,0,0
2025-01-26,48,0,0
2025-02-02,47,0,0
2025-02-09,46,0,0
2025-02-16,47,0,0
2025-02-23,47,0,0
2025-03-02,52,0,0
2025-03-09,54,0,0
2025-03-16,53,0,0
2025-03-23,52,0,0
2025-03-30,53,0,0
2025-04-06,50,0,0
2025-04-13,52,0,0
2025-04-20,53,0,0
2025-04-27,53,0,0
2025-05-04,61,0,0
2025-05-11,58,0,0
2025-05-18,61,0,0
2025-05-25,60,0,0
2025-06-01,66,0,0
2025-06-08,58,0,0
2025-06-15,58,0,0
2025-06-22,63,0,0
2025-06-29,63,0,0
2025-07-06,66,0,0
2025-07-13,78,0,1
2025-07-20,81,1,1
2025-07-27,78,1,0
2025-08-03,74,0,0
2025-08-10,67,0,0
2025-08-17,63,1,0
2025-08-24,65,1,1
2025-08-31,65,0,0
2025-09-07,60,0,0
2025-09-14,56,0,0
2025-09-21,57,0,0
2025-09-28,56,0,0
2025-10-05,48,0,0
2025-10-12,47,0,0
2025-10-19,42,0,0
2025-10-26,39,0,0
2025-11-02,40,0,0
2025-11-09,38,0,0
2025-11-16,35,0,0
2025-11-23,35,0,0
2025-11-30,40,0,1
2025-12-07,36,0,1
2025-12-14,36,0,1
2025-12-21,38,0,1
2025-12-28,52,0,1
2026-01-04,62,0,1
2026-01-11,60,0,1
2026-01-18,64,1,1
2026-01-25,60,0,1
2026-02-01,59,0,2
2026-02-08,65,0,4
2026-02-15,82,1,7
2026-02-22,94,1,5
2026-03-01,100,1,1
2026-03-08,77,0,1
