date,travel insurance,book holiday,cheap flights,package holiday,all inclusive holiday
2024-10-27,25,2,18,3,2
2024-11-03,21,2,18,2,2
2024-11-10,22,2,17,3,2
2024-11-17,20,2,17,2,2
2024-11-24,20,2,17,2,2
2024-12-01,21,2,18,2,2
2024-12-08,19,2,17,2,2
2024-12-15,22,2,18,2,2
2024-12-22,21,3,19,3,3
2024-12-29,29,4,22,4,4
2025-01-05,36,4,23,5,4
2025-01-12,39,4,21,5,4
2025-01-19,37,3,23,4,4
2025-01-26,34,3,23,4,4
2025-02-02,34,3,24,4,4
2025-02-09,34,3,21,3,3
2025-02-16,34,3,20,4,3
2025-02-23,32,3,20,3,3
2025-03-02,38,3,21,3,3
2025-03-09,39,3,21,3,3
2025-03-16,39,3,21,4,4
2025-03-23,38,3,21,4,3
2025-03-30,38,3,22,3,3
2025-04-06,37,3,22,4,4
2025-04-13,38,3,20,4,4
2025-04-20,36,3,20,4,4
2025-04-27,40,4,20,4,4
2025-05-04,42,3,19,4,4
2025-05-11,41,3,20,3,4
2025-05-18,45,3,22,4,4
2025-05-25,43,4,20,4,4
2025-06-01,45,4,21,4,4
2025-06-08,41,3,20,4,4
2025-06-15,43,3,19,4,4
2025-06-22,45,3,20,4,4
2025-06-29,46,4,22,4,4
2025-07-06,46,4,21,4,4
2025-07-13,56,4,22,4,5
2025-07-20,58,4,24,4,4
2025-07-27,56,4,21,4,4
2025-08-03,53,4,23,4,5
2025-08-10,50,4,23,4,4
2025-08-17,46,4,22,4,4
2025-08-24,47,4,21,4,4
2025-08-31,47,3,20,4,3
2025-09-07,44,3,19,3,3
2025-09-14,40,3,19,3,3
2025-09-21,39,3,20,3,3
2025-09-28,41,3,19,3,3
2025-10-05,34,3,18,3,3
2025-10-12,32,3,19,3,3
2025-10-19,29,3,20,3,2
2025-10-26,30,3,20,3,2
2025-11-02,28,3,21,3,2
2025-11-09,28,3,21,3,2
2025-11-16,25,3,21,3,2
2025-11-23,25,3,28,3,2
2025-11-30,28,3,29,3,2
2025-12-07,28,3,23,3,2
2025-12-14,25,4,21,3,2
2025-12-21,26,4,20,4,2
2025-12-28,38,5,21,5,4
2026-01-04,48,5,22,5,4
2026-01-11,44,5,24,6,4
2026-01-18,51,5,23,5,4
2026-01-25,44,4,23,5,4
2026-02-01,44,4,35,5,4
2026-02-08,48,4,75,4,4
2026-02-15,58,4,100,5,4
2026-02-22,65,4,46,5,4
2026-03-01,74,4,23,5,4
2026-03-08,56,4,24,4,3
