date,travel insurance,summer holiday,winter sun,holiday insurance,annual travel insurance
2024-10-27,31,2,4,5,1
2024-11-03,28,2,3,4,0
2024-11-10,29,2,3,4,1
2024-11-17,28,2,4,4,0
2024-11-24,27,2,3,4,1
2024-12-01,27,2,3,4,1
2024-12-08,27,3,3,4,0
2024-12-15,33,5,4,4,0
2024-12-22,28,3,4,4,0
2024-12-29,38,4,4,6,1
2025-01-05,51,5,4,7,1
2025-01-12,55,5,3,10,1
2025-01-19,52,4,3,8,1
2025-01-26,45,4,2,6,1
2025-02-02,46,4,2,7,1
2025-02-09,45,4,2,7,1
2025-02-16,43,5,2,7,1
2025-02-23,44,4,2,7,1
2025-03-02,50,4,2,8,1
2025-03-09,52,4,1,8,1
2025-03-16,51,5,1,8,1
2025-03-23,51,5,1,8,1
2025-03-30,52,7,1,8,1
2025-04-06,48,6,1,8,1
2025-04-13,47,6,1,9,1
2025-04-20,51,6,1,8,1
2025-04-27,51,6,1,9,1
2025-05-04,55,7,1,10,1
2025-05-11,54,7,1,10,1
2025-05-18,60,7,1,10,1
2025-05-25,58,8,2,11,1
2025-06-01,62,9,1,11,1
2025-06-08,55,9,1,9,1
2025-06-15,56,10,1,10,1
2025-06-22,63,11,1,11,1
2025-06-29,60,12,2,10,1
2025-07-06,63,13,1,11,1
2025-07-13,76,15,2,15,1
2025-07-20,80,15,2,15,1
2025-07-27,73,12,2,13,1
2025-08-03,71,9,2,13,1
2025-08-10,64,8,2,12,1
2025-08-17,67,9,2,11,1
2025-08-24,64,8,3,12,1
2025-08-31,63,5,3,11,1
2025-09-07,58,3,3,10,1
2025-09-14,52,3,3,9,1
2025-09-21,53,3,3,9,1
2025-09-28,54,2,3,9,1
2025-10-05,44,4,3,8,1
2025-10-12,42,2,3,7,1
2025-10-19,41,2,3,7,1
2025-10-26,37,2,4,6,1
2025-11-02,36,2,4,6,1
2025-11-09,37,2,4,6,1
2025-11-16,35,3,3,5,1
2025-11-23,33,3,3,6,1
2025-11-30,37,3,3,6,1
2025-12-07,38,3,4,6,1
2025-12-14,36,3,3,6,1
2025-12-21,35,3,4,6,1
2025-12-28,50,5,4,8,1
2026-01-04,59,5,4,8,1
2026-01-11,58,5,3,9,1
2026-01-18,64,6,3,9,1
2026-01-25,59,5,3,9,1
2026-02-01,61,5,4,9,1
2026-02-08,63,6,4,10,2
2026-02-15,83,7,4,15,2
2026-02-22,88,6,3,15,2
2026-03-01,100,5,2,21,2
2026-03-08,69,5,1,13,1
2026-03-15,69,5,1,13,1
