date,travel insurance,book holiday,cheap flights,package holiday,all inclusive holiday
2024-10-27,21,2,17,2,2
2024-11-03,21,2,17,2,2
2024-11-10,22,2,16,3,2
2024-11-17,20,2,17,2,2
2024-11-24,20,2,16,2,2
2024-12-01,20,2,16,2,2
2024-12-08,19,2,16,2,2
2024-12-15,21,2,17,2,2
2024-12-22,22,3,18,3,2
2024-12-29,30,4,21,4,4
2025-01-05,35,4,23,4,4
2025-01-12,38,3,23,4,4
2025-01-19,36,3,22,4,4
2025-01-26,33,3,22,4,4
2025-02-02,34,3,22,3,3
2025-02-09,32,3,21,3,3
2025-02-16,32,3,21,3,3
2025-02-23,31,3,20,3,3
2025-03-02,38,3,20,3,3
2025-03-09,38,3,20,3,3
2025-03-16,39,3,20,4,4
2025-03-23,35,3,21,3,3
2025-03-30,37,3,21,3,3
2025-04-06,35,3,21,4,4
2025-04-13,37,3,20,4,4
2025-04-20,35,3,20,4,4
2025-04-27,38,3,20,4,4
2025-05-04,41,3,18,4,4
2025-05-11,40,3,19,3,4
2025-05-18,45,3,21,4,4
2025-05-25,43,4,19,4,4
2025-06-01,44,4,20,4,4
2025-06-08,40,3,19,4,4
2025-06-15,41,3,21,4,4
2025-06-22,44,3,18,4,4
2025-06-29,42,4,20,4,4
2025-07-06,46,4,21,4,4
2025-07-13,53,4,21,4,4
2025-07-20,58,4,21,4,4
2025-07-27,54,4,22,4,4
2025-08-03,50,4,23,4,4
2025-08-10,47,4,22,4,4
2025-08-17,45,4,21,4,4
2025-08-24,45,4,20,4,4
2025-08-31,46,3,20,4,3
2025-09-07,42,3,18,3,3
2025-09-14,39,3,19,3,3
2025-09-21,37,3,18,3,2
2025-09-28,40,2,18,3,2
2025-10-05,34,3,17,3,2
2025-10-12,32,3,18,3,2
2025-10-19,29,3,17,3,2
2025-10-26,27,3,19,3,2
2025-11-02,26,3,20,3,2
2025-11-09,27,3,21,3,2
2025-11-16,26,3,22,3,2
2025-11-23,27,3,28,3,2
2025-11-30,27,3,30,3,2
2025-12-07,25,3,25,3,2
2025-12-14,27,3,19,3,2
2025-12-21,27,4,19,3,2
2025-12-28,36,4,21,5,4
2026-01-04,44,5,20,5,4
2026-01-11,43,4,23,5,4
2026-01-18,46,4,22,5,4
2026-01-25,41,4,22,5,4
2026-02-01,43,4,33,5,4
2026-02-08,46,4,77,4,4
2026-02-15,58,4,100,5,4
2026-02-22,64,4,45,4,4
2026-03-01,73,4,22,4,4
2026-03-08,54,4,24,5,4
