date,travel insurance,summer holiday,winter sun,holiday insurance,annual travel insurance
2019-12-01,12,1,2,2,0
2019-12-08,12,1,2,2,0
2019-12-15,14,1,2,2,0
2019-12-22,13,2,2,2,0
2019-12-29,19,2,2,4,0
2020-01-05,25,3,2,5,1
2020-01-12,25,2,2,5,0
2020-01-19,25,2,2,5,0
2020-01-26,26,2,1,5,0
2020-02-02,25,2,1,5,1
2020-02-09,25,2,1,5,0
2020-02-16,22,2,1,4,1
2020-02-23,51,2,1,10,1
2020-03-01,73,2,1,13,1
2020-03-08,100,2,0,19,1
2020-03-15,38,1,0,8,0
2020-03-22,11,1,0,2,0
2020-03-29,10,1,0,2,0
2020-04-05,9,2,1,2,0
2020-04-12,8,2,1,2,0
2020-04-19,8,2,1,2,0
2020-04-26,8,2,0,2,0
2020-05-03,8,2,0,2,0
2020-05-10,9,2,0,2,0
2020-05-17,9,2,1,2,0
2020-05-24,9,2,1,2,0
2020-05-31,9,2,1,2,0
2020-06-07,9,2,1,2,0
2020-06-14,9,2,1,2,0
2020-06-21,13,3,1,3,0
2020-06-28,17,3,1,4,0
2020-07-05,17,3,1,4,0
2020-07-12,15,4,1,4,0
2020-07-19,18,3,1,4,0
2020-07-26,22,3,0,5,0
2020-08-02,15,2,1,3,0
2020-08-09,15,2,1,3,0
2020-08-16,14,1,1,3,0
2020-08-23,13,2,1,3,0
2020-08-30,13,2,1,3,0
2020-09-06,12,1,1,3,0
2020-09-13,11,1,1,2,0
2020-09-20,10,1,1,2,0
2020-09-27,10,1,1,2,0
2020-10-04,9,1,1,2,0
2020-10-11,9,4,1,2,0
2020-10-18,9,1,1,2,0
2020-10-25,8,1,1,1,0
2020-11-01,6,0,1,1,0
2020-11-08,7,1,1,1,0
2020-11-15,7,1,1,2,0
2020-11-22,7,1,1,1,0
2020-11-29,8,1,1,1,0
2020-12-06,9,1,1,2,0
2020-12-13,9,1,1,2,0
2020-12-20,7,1,1,2,0
2020-12-27,8,1,1,2,0
2021-01-03,8,1,1,2,0
2021-01-10,8,1,1,2,0
2021-01-17,7,1,1,2,0
2021-01-24,6,2,1,2,0
2021-01-31,5,2,0,1,0
2021-02-07,6,2,1,1,0
2021-02-14,5,1,0,2,0
2021-02-21,6,3,1,2,0
2021-02-28,6,2,1,2,0
2021-03-07,7,2,1,2,0
2021-03-14,6,2,1,2,0
2021-03-21,5,2,0,2,0
2021-03-28,5,2,0,1,0
2021-04-04,5,2,0,1,0
2021-04-11,5,2,0,1,0
2021-04-18,5,2,0,1,0
2021-04-25,5,2,0,2,0
2021-05-02,6,2,0,2,0
2021-05-09,8,2,0,2,0
2021-05-16,8,2,0,2,0
2021-05-23,8,2,0,2,0
2021-05-30,8,3,0,2,0
2021-06-06,7,4,0,2,0
2021-06-13,7,5,0,2,0
2021-06-20,9,5,0,2,0
2021-06-27,10,4,0,2,0
2021-07-04,11,4,0,3,0
2021-07-11,12,5,0,3,0
2021-07-18,12,5,0,3,0
2021-07-25,13,5,1,3,0
2021-08-01,15,4,1,3,0
2021-08-08,16,4,1,3,0
2021-08-15,13,3,1,3,0
2021-08-22,15,4,1,3,0
2021-08-29,16,3,1,4,0
2021-09-05,16,1,1,4,0
2021-09-12,16,1,1,3,0
2021-09-19,17,1,2,4,0
2021-09-26,16,1,2,3,0
2021-10-03,17,1,2,3,0
2021-10-10,16,1,2,3,0
2021-10-17,16,1,2,3,0
2021-10-24,13,1,2,2,0
2021-10-31,13,1,2,2,0
2021-11-07,14,1,2,2,0
2021-11-14,14,1,2,2,0
2021-11-21,15,1,1,3,0
2021-11-28,15,0,1,2,0
2021-12-05,13,1,1,2,0
2021-12-12,13,1,1,2,0
2021-12-19,10,1,1,2,0
2021-12-26,12,1,1,3,0
2022-01-02,19,2,1,4,0
2022-01-09,24,2,2,5,1
2022-01-16,23,2,1,5,0
2022-01-23,25,2,1,5,1
2022-01-30,27,2,1,5,0
2022-02-06,27,2,1,5,1
2022-02-13,25,2,1,5,1
2022-02-20,26,2,1,5,0
2022-02-27,26,2,1,5,0
2022-03-06,26,2,1,4,0
2022-03-13,27,2,1,5,0
2022-03-20,26,3,1,5,1
2022-03-27,29,3,1,5,0
2022-04-03,33,3,1,6,1
2022-04-10,27,3,1,5,0
2022-04-17,27,3,1,5,0
2022-04-24,31,3,1,6,0
2022-05-01,31,3,1,6,0
2022-05-08,32,3,1,6,0
2022-05-15,30,4,1,6,0
2022-05-22,37,4,1,7,0
2022-05-29,35,4,1,7,0
2022-06-05,36,5,1,7,0
2022-06-12,30,5,1,6,0
2022-06-19,33,6,1,6,0
2022-06-26,34,6,1,7,0
2022-07-03,35,6,1,7,0
2022-07-10,33,7,1,6,0
2022-07-17,30,7,1,6,0
2022-07-24,31,9,1,6,0
2022-07-31,31,5,1,6,0
2022-08-07,32,4,1,6,0
2022-08-14,30,4,1,6,0
2022-08-21,30,4,2,6,0
2022-08-28,30,4,2,6,0
2022-09-04,26,2,2,5,0
2022-09-11,25,1,2,5,0
2022-09-18,23,1,2,5,0
2022-09-25,21,1,2,4,0
2022-10-02,22,1,2,4,0
2022-10-09,20,1,2,4,0
2022-10-16,16,1,2,3,0
2022-10-23,16,1,2,3,0
2022-10-30,15,1,2,3,0
2022-11-06,15,1,2,3,0
2022-11-13,14,1,2,3,0
2022-11-20,12,1,2,2,0
2022-11-27,14,1,2,2,0
2022-12-04,12,1,2,2,0
2022-12-11,14,3,2,2,0
2022-12-18,12,1,2,2,0
2022-12-25,16,2,2,3,0
2023-01-01,26,3,2,5,1
2023-01-08,28,3,2,5,1
2023-01-15,30,2,2,6,1
2023-01-22,29,2,1,5,1
2023-01-29,28,2,1,5,1
2023-02-05,27,2,1,5,0
2023-02-12,26,2,1,4,0
2023-02-19,25,2,1,4,0
2023-02-26,25,2,1,5,0
2023-03-05,25,2,1,4,0
2023-03-12,23,2,1,4,0
2023-03-19,25,2,1,5,0
2023-03-26,27,3,1,5,0
2023-04-02,25,3,1,5,0
2023-04-09,26,3,1,6,0
2023-04-16,26,3,1,5,0
2023-04-23,29,3,1,6,0
2023-04-30,28,3,1,6,0
2023-05-07,29,5,1,6,0
2023-05-14,29,4,1,6,0
2023-05-21,28,4,1,6,0
2023-05-28,31,4,1,7,0
2023-06-04,31,5,1,6,0
2023-06-11,29,5,1,6,0
2023-06-18,32,5,1,7,0
2023-06-25,33,6,1,7,0
2023-07-02,33,6,1,6,0
2023-07-09,29,6,1,6,0
2023-07-16,30,7,1,6,0
2023-07-23,31,6,1,6,0
2023-07-30,28,5,1,6,0
2023-08-06,28,4,1,5,0
2023-08-13,27,4,2,5,0
2023-08-20,27,4,2,5,0
2023-08-27,30,4,2,6,0
2023-09-03,28,2,2,5,0
2023-09-10,26,2,2,5,0
2023-09-17,23,1,2,4,0
2023-09-24,22,1,2,4,0
2023-10-01,21,1,2,4,0
2023-10-08,20,1,2,3,0
2023-10-15,17,1,2,3,0
2023-10-22,16,1,2,3,0
2023-10-29,15,1,2,2,0
2023-11-05,14,1,2,2,0
2023-11-12,13,1,2,2,0
2023-11-19,13,1,2,2,0
2023-11-26,14,1,2,2,0
2023-12-03,13,1,2,2,0
2023-12-10,13,1,2,2,0
2023-12-17,14,2,2,2,0
2023-12-24,15,2,2,3,0
2023-12-31,23,2,2,4,0
2024-01-07,26,3,2,4,0
2024-01-14,26,3,2,4,1
2024-01-21,24,2,1,4,0
2024-01-28,26,2,1,4,0
2024-02-04,23,2,1,4,0
2024-02-11,24,2,1,4,0
2024-02-18,22,2,1,4,0
2024-02-25,23,2,1,4,0
2024-03-03,23,2,1,4,0
2024-03-10,24,2,1,4,0
2024-03-17,24,2,1,4,0
2024-03-24,23,3,1,4,0
2024-03-31,25,3,1,4,0
2024-04-07,24,3,1,4,0
2024-04-14,25,3,1,5,0
2024-04-21,25,3,1,5,0
2024-04-28,27,3,1,5,0
2024-05-05,25,3,1,5,0
2024-05-12,26,3,1,5,0
2024-05-19,27,4,1,5,0
2024-05-26,29,4,1,6,0
2024-06-02,29,5,1,5,0
2024-06-09,31,5,1,6,0
2024-06-16,29,5,1,5,0
