date,travel insurance,single trip travel insurance,travel insurance comparison
2024-10-27,30,0,0
2024-11-03,28,0,0
2024-11-10,28,0,0
2024-11-17,29,0,0
2024-11-24,27,0,0
2024-12-01,28,0,0
2024-12-08,26,0,0
2024-12-15,29,0,0
2024-12-22,29,0,0
2024-12-29,42,0,0
2025-01-05,48,0,0
2025-01-12,51,0,0
2025-01-19,49,0,0
2025-01-26,44,0,0
2025-02-02,45,0,0
2025-02-09,44,0,0
2025-02-16,44,0,0
2025-02-23,44,0,0
2025-03-02,49,0,0
2025-03-09,50,0,0
2025-03-16,49,0,0
2025-03-23,50,0,0
2025-03-30,50,0,0
2025-04-06,48,0,0
2025-04-13,48,0,0
2025-04-20,48,0,0
2025-04-27,51,0,0
2025-05-04,53,0,0
2025-05-11,53,0,0
2025-05-18,60,0,0
2025-05-25,57,0,0
2025-06-01,59,0,0
2025-06-08,52,0,0
2025-06-15,53,0,0
2025-06-22,59,0,0
2025-06-29,60,0,0
2025-07-06,61,0,0
2025-07-13,74,0,0
2025-07-20,79,1,0
2025-07-27,72,1,0
2025-08-03,70,0,0
2025-08-10,65,0,0
2025-08-17,58,1,0
2025-08-24,60,1,0
2025-08-31,62,0,0
2025-09-07,57,0,0
2025-09-14,51,0,0
2025-09-21,53,0,0
2025-09-28,53,0,0
2025-10-05,46,0,0
2025-10-12,43,0,0
2025-10-19,39,0,0
2025-10-26,38,0,0
2025-11-02,36,0,0
2025-11-09,36,0,0
2025-11-16,34,0,0
2025-11-23,33,0,0
2025-11-30,36,0,1
2025-12-07,35,0,1
2025-12-14,36,0,1
2025-12-21,35,0,1
2025-12-28,50,0,1
2026-01-04,58,0,1
2026-01-11,57,0,1
2026-01-18,61,0,1
2026-01-25,58,0,1
2026-02-01,59,0,2
2026-02-08,60,0,4
2026-02-15,80,1,6
2026-02-22,87,1,5
2026-03-01,100,1,1
2026-03-08,70,0,1
2026-03-15,65,0,1
