date,travel insurance,summer holiday,winter sun,holiday insurance,annual travel insurance
2024-02-25,45,5,1,8,1
2024-03-03,44,4,1,8,1
2024-03-10,42,4,1,8,1
2024-03-17,47,5,1,8,1
2024-03-24,47,5,1,8,1
2024-03-31,48,6,1,9,1
2024-04-07,46,6,1,9,1
2024-04-14,50,6,1,9,1
2024-04-21,49,6,1,9,0
2024-04-28,55,6,1,11,1
2024-05-05,51,7,1,10,1
2024-05-12,52,7,1,10,1
2024-05-19,53,8,1,10,1
2024-05-26,59,9,1,11,1
2024-06-02,58,9,2,11,1
2024-06-09,60,9,1,11,1
2024-06-16,58,10,2,10,1
2024-06-23,57,11,1,11,1
2024-06-30,58,10,2,11,1
2024-07-07,53,12,2,10,1
2024-07-14,57,14,2,10,1
2024-07-21,59,14,2,11,1
2024-07-28,54,14,2,10,1
2024-08-04,57,10,3,10,1
2024-08-11,56,8,3,10,1
2024-08-18,57,8,3,10,1
2024-08-25,54,8,3,9,1
2024-09-01,58,5,4,9,1
2024-09-08,51,3,4,9,1
2024-09-15,48,3,4,8,1
2024-09-22,47,2,3,8,1
2024-09-29,44,2,4,8,1
2024-10-06,39,2,4,7,1
2024-10-13,36,2,4,6,1
2024-10-20,34,2,4,6,1
2024-10-27,33,2,4,5,1
2024-11-03,30,2,3,4,0
2024-11-10,32,2,4,4,0
2024-11-17,29,2,4,5,0
2024-11-24,28,2,3,4,1
2024-12-01,30,2,3,4,1
2024-12-08,30,3,3,4,0
2024-12-15,29,5,4,4,0
2024-12-22,29,3,4,5,1
2024-12-29,42,5,4,7,1
2025-01-05,51,5,4,7,1
2025-01-12,52,5,3,10,1
2025-01-19,53,4,3,9,1
2025-01-26,48,5,3,7,1
2025-02-02,47,4,2,8,1
2025-02-09,46,4,2,7,1
2025-02-16,47,5,2,8,1
2025-02-23,47,5,2,8,1
2025-03-02,52,5,2,8,1
2025-03-09,54,5,1,8,1
2025-03-16,53,5,1,8,1
2025-03-23,52,5,1,8,1
2025-03-30,53,7,1,9,1
2025-04-06,50,6,1,9,1
2025-04-13,52,6,1,10,1
2025-04-20,53,6,1,9,1
2025-04-27,53,6,1,9,1
2025-05-04,61,7,1,11,1
2025-05-11,58,8,1,10,1
2025-05-18,61,8,1,11,1
2025-05-25,60,8,2,11,1
2025-06-01,66,9,1,11,1
2025-06-08,58,9,1,10,1
2025-06-15,58,10,1,10,1
2025-06-22,63,12,1,12,1
2025-06-29,63,13,2,10,1
2025-07-06,66,13,1,11,1
2025-07-13,78,15,2,15,1
2025-07-20,81,15,2,16,1
2025-07-27,78,12,2,14,1
2025-08-03,74,10,2,14,1
2025-08-10,67,9,2,12,1
2025-08-17,63,9,2,12,1
2025-08-24,65,8,3,12,1
2025-08-31,65,5,3,11,1
2025-09-07,60,3,3,10,1
2025-09-14,56,3,3,9,1
2025-09-21,57,3,3,9,1
2025-09-28,56,2,3,9,1
2025-10-05,48,4,3,8,1
2025-10-12,47,3,3,7,1
2025-10-19,42,2,3,7,1
2025-10-26,39,2,4,6,1
2025-11-02,40,2,4,6,1
2025-11-09,38,2,4,6,1
2025-11-16,35,3,4,5,1
2025-11-23,35,3,3,6,1
2025-11-30,40,3,4,6,1
2025-12-07,36,3,4,6,1
2025-12-14,36,3,4,6,1
2025-12-21,38,3,4,7,1
2025-12-28,52,5,4,9,1
2026-01-04,62,5,4,9,1
2026-01-11,60,5,3,9,1
2026-01-18,64,6,3,9,2
2026-01-25,60,5,3,10,1
2026-02-01,59,5,4,9,1
2026-02-08,65,6,4,11,2
2026-02-15,82,8,4,16,2
2026-02-22,94,6,3,16,2
2026-03-01,100,5,2,22,2
2026-03-08,76,5,1,14,1
